adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Центральный,Хамовники,"г. москва, ул. пироговская м., д. 9/6",6.0,,55.73,37.57205,деревянные,Кирпичный,Кирпичные,муниципальный,66.0,1933.0,,1.0,Исправный,Фрунзенская,0.65,10.0,77:01:0005008:1062,7.70000000002287e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=186785,
Северный,Коптево,"г. москва, пер. михалковский 3-й, д. 15",5.0,,55.83566999999999,37.526270000000004,Железобетонные,Кирпичный,Кирпичные,муниципальный,,1960.0,280.0,,Исправный,Коптево,0.65,10.0,77:08:0014001:1014,7.70000000001876e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=50747,
Центральный,Арбат,"г. москва, пер. серебряный, д. 5",5.0,,55.751569999999994,37.59328,Деревянные,Кирпичный,Кирпичные,муниципальный,26.0,1930.0,,1.0,Исправный,Смоленская,0.75,12.0,77:01:0001046:1059,7.70000000002619e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=27948,
Западный,Очаково-Матвеевское,"г. москва, ш. аминьевское, д. 4д, к. 1",29.0,,55.699980000000004,37.46547,,,,,,2021.0,,,,Аминьевская,0.35,5.0,77:07:0012010:15915,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=352635,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 5, к. 1",13.0,,55.48885,37.337740000000004,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385474,
Новомосковский,СП Десеновское,"г. москва, п. десеновское, ул. кварцевая, д. 5, к. 1",13.0,,55.48885,37.337740000000004,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385474,
Юго-Западный,Обручевский,"г. москва, ул. обручева, д. 5",16.0,,55.66211,37.514509999999994,Железобетонные,,,,,2020.0,,6.0,Исправный,Новаторская,1.0,15.0,77:06:0003013:21875,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=348419,
Восточный,Косино-Ухтомский,"г. москва, ул. салтыковская, д. 6/1, к. 6",25.0,,55.72478,37.86138,,,,,,2022.0,,,,Улица Дмитриевского,1.95,29.0,77:03:0010003:2741,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385214,
Юго-Восточный,Выхино-Жулебино,"г. москва, ул. академика скрябина, д. 3/1, к. 4",22.0,,55.71174,37.803670000000004,,,,,,2022.0,,,,Рязанский Проспект,0.9,14.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385963,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 2, к. 1",13.0,,55.491369999999996,37.33726,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385464,
