lot_tag,addr_norm,adm_area,mun_district,metro_name,metro_dist,metro_minutes,addr_floor,total_floors,year_exp_w,реновация,ремонт,qty_rooms,is_qty_rooms_predicted,obj_square,start_price,start_price_m2,final_price,final_price_m2,delta_price,auct_date,investMSK_URL,lot_URL,platform_name,timestamp,building_page,Примечания
#ГП16879734,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,8,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,55.7,6648018,119354.0,8815272,119354.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609457,https://www.roseltorg.ru/procedure/COM26062000118,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879982,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,2,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.2,7558925,112484.0,9569599,112484.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612746,https://www.roseltorg.ru/procedure/COM30062000113,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880047,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,9,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.2,7815965,116309.0,9973171,116309.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613019,https://www.roseltorg.ru/procedure/COM02072000107,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880083,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,8,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.2,7778131,115746.0,9769332,115746.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613619,https://www.roseltorg.ru/procedure/COM02072000114,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880101,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,14,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.3,8016843,119121.0,9700380,119121.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613092,https://www.roseltorg.ru/procedure/COM02072000092,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880117,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,11,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.3,7903308,117434.0,9926555,117434.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613097,https://www.roseltorg.ru/procedure/COM02072000070,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16882137,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,13,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.3,8065367,119842.01,10726937,119842.01,,2020-11-12,https://investmoscow.ru/tenders/tendercard/?TenderId=17698896,https://www.roseltorg.ru/procedure/COM10092000077,ЕЭТП,1605139200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879754,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,2,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.3,7570173,112484.0,9447576,112484.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609493,https://www.roseltorg.ru/procedure/COM26062000104,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879790,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,4,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.4,7649698,113497.0,9592721,113497.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609437,https://www.roseltorg.ru/procedure/COM26062000095,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879933,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,7,"от 11 до 14 этажей
",2018,новый дом,,3.0,0,67.4,7755718,115070.0,9725670,115070.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612675,https://www.roseltorg.ru/procedure/COM30062000086,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
