adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Юго-Западный,Бутово Северное,"г. москва, ул. феодосийская, д. 2",9.0,,55.56405,37.57966,железобетонные,Панельный,Крупнопанельные,муниципальный,589.0,1982.0,251.0,1.0,Исправный,Улица Старокачаловская,0.65,10.0,77:06:0011006:1011,7.70000000002986e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=2875,"феодосийская ул., 2"
Западный,Можайский,"г. москва, ул. гжатская, д. 5, к. 3",23.0,,55.7136,37.43504,,Монолитный,,,,2019.0,,3.0,,Давыдково,1.1,17.0,77:07:0008006:9420,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335265,"гжатская ул., 5к3"
Южный,Орехово-Борисово Южное,"г. москва, ул. генерала белова, д. 28, к. 1",25.0,1.0,55.60554000000001,37.72451,Железобетонные,Панельный,Железобетонные,,,2018.0,270.0,2.0,Исправный,Домодедовская,0.7,11.0,77:05:0011006:9664,7.70000000000468e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=332822,"генерала белова ул., 28к1"
Южный,Нагатинский Затон,"г. москва, ул. судостроительная, д. 45",9.0,,55.6869,37.68953,железобетонные,Панельный,Крупноблочные,муниципальный,694.0,1970.0,260.0,1.0,Исправный,Нагатинский Затон,1.0,15.0,77:05:0004009:1030,7.70000000002825e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=14892,"судостроительная ул., 45"
Северный,Беговой,"г. москва, пр-кт. ленинградский, д. 37/6",41.0,1.0,55.7943,37.54196,,Монолитный,,,,2020.0,,,,Аэропорт,0.95,15.0,77:09:0005008:8312,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335528,"ленинградский просп., 37/6"
Западный,Можайский,"г. москва, ул. красных зорь, д. 59б",20.0,,55.72588,37.43039,,,Из мелких бетонных блоков,,,2016.0,280.0,,Исправный,Рабочий Посёлок,0.85,13.0,77:07:0008003:11353,7.70000000001601e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=326675,"красных зорь ул., 59б"
Южный,Даниловский,"г. москва, ул. дубининская, д. 59, к. 5",9.0,,55.71788000000001,37.63664,,Монолитный,,,,2023.0,,,,Серпуховская,1.25,19.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354966,"дубининская ул., 59к5"
Западный,Раменки,"г. москва, ул. лобачевского, д. 124, к. 2",38.0,,55.69812,37.47438,,Монолитный,,,,2021.0,,,,Аминьевская,0.6,9.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335448,"лобачевского ул., 124к2"
Западный,Дорогомилово,"г. москва, пр-кт. кутузовский, д. 24",10.0,1.0,55.74538,37.54565,железобетонные,Кирпичный,Кирпичные,муниципальный,1095.0,1944.0,280.0,1.0,Исправный,Выставочная,0.55,8.0,77:07:0007001:1071,7.700000000072e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=27812,"кутузовский просп., 24"
Северо-Восточный,Свиблово,"г. москва, проезд. серебрякова, д. 11, к. 1",20.0,,55.848180000000006,37.65001,,,,,,2019.0,,,,Свиблово,0.85,13.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=308427,"серебрякова пр-д, 11к1"
Юго-Восточный,Южнопортовый,"г. москва, пр-кт. волгоградский, д. 32/3, к. 4",30.0,,55.72068,37.69346,,Монолитный,,,,2021.0,,,,Угрешская,0.35,5.0,77:04:0001018:14793,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335425,"волгоградский просп., 32/3к4"
Северо-Восточный,Бутырский,"г. москва, ул. милашенкова, д. 7, к. 1",14.0,,55.82368,37.58539,Железобетонные,Панельный,Бетонные,,300.0,2012.0,275.0,2.0,Исправный,Фонвизинская,0.2,3.0,77:02:0020003:5315,7.70000000001851e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=230351,"милашенкова ул., 7к1"
Южный,Даниловский,"г. москва, ул. трофимова, д. 2/1",9.0,,55.70275,37.66038,Железобетонные,Кирпичный,Кирпичные,муниципальный,798.0,1960.0,280.0,1.0,Исправный,Автозаводская,0.55,8.0,77:05:0002006:1026,7.70000000000221e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=23524,"трофимова ул., 2/1"
Юго-Западный,Бутово Южное,"г. москва, ул. адмирала лазарева, д. 58",14.0,,55.54131999999999,37.51154,железобетонные,Панельный,Крупнопанельные,муниципальный,826.0,2000.0,264.0,1.0,Исправный,Бунинская аллея,0.5,7.0,77:06:0012009:1049,7.70000000004273e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=75539,"адмирала лазарева ул., 58"
Северный,Войковский,"г. москва, ул. нарвская, д. 11, к. 1",14.0,,55.83349000000001,37.50348,Железобетонные,Панельный,Крупноблочные,муниципальный,197.0,1971.0,264.0,2.0,Исправный,Балтийская,1.15,17.0,77:09:0001023:1013,7.70000000000366e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=73429,"нарвская ул., 11к1"
Юго-Западный,Теплый Стан,"г. москва, ул. академика варги, д. 5",14.0,,55.62906,37.47564000000001,железобетонные,Панельный,Крупнопанельные,муниципальный,873.0,1994.0,264.0,1.0,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:06:0007008:1005,7.70000000000931e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=5220,"академика варги ул., 5"
Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4в",24.0,1.0,55.81649,37.753,Железобетонные,Монолитный,,,,2021.0,,3.0,Исправный,Бульвар Рокоссовского,1.2,18.0,77:03:0002005:3581,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=352423,"тагильская ул., 4в"
Северо-Восточный,Лианозово,"г. москва, ул. новгородская, д. 37",24.0,1.0,55.90549,37.57832,железобетонные,Панельный,Крупнопанельные,муниципальный,836.0,2006.0,280.0,2.0,Исправный,Алтуфьево,1.05,16.0,77:02:0001010:1036,7.70000000002011e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=60706,"новгородская ул., 37"
Северный,Хорошевский,"г. москва, ул. викторенко, д. 4, к. 1",19.0,1.0,55.79884000000001,37.5278,Железобетонные,Монолит-Кирпич,Железобетонные Монолитные,федеральный,,2006.0,320.0,1.0,Исправный,Аэропорт,0.4,6.0,77:09:0005004:1040,7.70000000000964e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=41831,"викторенко ул., 4к1"
Центральный,Тверской,"г. москва, ул. фадеева, д. 6, стр. 1",7.0,,55.77569,37.59878,железобетонные,Кирпичный,Кирпичные,муниципальный,286.0,1932.0,,2.0,Исправный,Новослободская,0.5,8.0,77:01:0004010:1029,7.70000000000617e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=44616,"фадеева ул., 6с1"
Южный,Даниловский,"г. москва, ул. лобанова, д. 4",5.0,,55.70163,37.65889,железобетонные,Кирпичный,Кирпичные,муниципальный,146.0,1957.0,300.0,,Исправный,Автозаводская,0.65,10.0,77:05:0002005:1048,7.70000000001722e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=14861,"лобанова ул., 4"
Юго-Западный,Теплый Стан,"г. москва, ул. академика варги, д. 24",12.0,,55.63423,37.47243,,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,,1974.0,264.0,2.0,,Тропарево,1.3,20.0,77:06:0007007:1010,7.70000000000931e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=9263,"академика варги ул., 24"
